Date,open,low,high,close,next_open,volume,intraday_drop_pct,vol_ratio,open_to_close_pct,range_pos,overnight_ret,net_ret
2023-10-30,11.729999542236328,9.899999618530273,13.930000305175781,10.329999923706055,10.210000038146973,37800,15.601022976316031,0.8902496467263307,-11.935206079840674,0.10669980940715544,-0.011616639539725198,-0.016616639539725198
2023-11-02,10.789999961853027,9.359999656677246,10.960000038146973,9.670000076293945,10.90999984741211,17900,13.253014923367981,0.5393190720096415,-10.379980440396018,0.1937502160667858,0.12823161957961404,0.12323161957961404
2023-11-09,10.520000457763672,9.600000381469727,10.600000381469727,10.5,9.800000190734863,4600,8.74524749297889,0.07074202229911572,-0.19011841153401954,0.8999996185302734,-0.06666664850144159,-0.0716666485014416
2023-11-14,9.699999809265137,5.96999979019165,9.699999809265137,7.800000190734863,7.800000190734863,41200,38.45360920018479,0.6576741958655918,-19.587625318460862,0.4906167268593677,0.0,-0.005
2023-11-15,7.800000190734863,6.300000190734863,7.800000190734863,6.769999980926514,7.650000095367432,14600,19.230768760515634,0.23070237813067868,-13.205130572071305,0.3133331934611003,0.12998524622159377,0.12498524622159377
2023-11-16,7.650000095367432,2.7799999713897705,7.650000095367432,3.0,2.5799999237060547,640300,63.660131545969,7.963930348258707,-60.78431421436591,0.045174542712442575,-0.1400000254313151,-0.1450000254313151
2023-11-17,2.5799999237060547,1.899999976158142,2.5799999237060547,1.9199999570846558,2.140000104904175,457400,26.356587893658656,4.665442676458588,-25.581394811567996,0.029411738925324667,0.11458341288380502,0.10958341288380502
2023-11-20,2.140000104904175,1.4199999570846558,2.140000104904175,1.559999942779541,1.5099999904632568,483500,33.64486507124537,3.966691279022069,-27.102809985638064,0.19444438465584699,-0.03205125266043049,-0.03705125266043049
2023-11-21,1.5099999904632568,1.3600000143051147,1.7599999904632568,1.6799999475479126,1.659999966621399,437300,9.93377331824507,3.0483426858596774,11.258275374723747,0.7999998807907034,-0.011904750923180184,-0.016904750923180185
2023-11-22,1.659999966621399,1.5199999809265137,1.7200000286102295,1.6699999570846558,1.6200000047683716,112000,8.433734247587214,0.7571404427919554,0.6024090761646119,0.7499997019768472,-0.02994009197675062,-0.03494009197675062
2023-11-27,1.7599999904632568,1.649999976158142,1.7999999523162842,1.7300000190734863,3.0,136600,6.25000084665689,0.8673841953201892,-1.7045438382004816,0.5333337042067375,0.7341040271240408,0.7291040271240408
2023-11-28,3.0,2.609999895095825,4.150000095367432,3.640000104904175,3.069999933242798,45994600,13.000003496805826,18.732591408469347,21.33333683013916,0.6688312180911994,-0.15659344924012922,-0.16159344924012922
2023-11-29,3.069999933242798,2.5,3.7200000286102295,2.819999933242798,2.630000114440918,2529800,18.56677347353278,0.9799387199361633,-8.143322652646722,0.2622950210971124,-0.06737582386514233,-0.07237582386514234
2023-11-30,2.630000114440918,2.359999895095825,2.9000000953674316,2.5799999237060547,2.380000114440918,415000,10.26616758921659,0.15948227825238168,-1.901147853960921,0.40740730929280217,-0.07751930820906612,-0.08251930820906613
2023-12-01,2.380000114440918,2.109999895095825,2.549999952316284,2.200000047683716,2.140000104904175,193300,11.344546485810488,0.07403463886569588,-7.563027651344701,0.20454577473565344,-0.027272700672307866,-0.032272700672307864
2023-12-05,2.109999895095825,1.9450000524520874,2.299999952316284,1.9850000143051147,2.049999952316284,68000,7.819898144414095,0.026232088402137914,-5.924165260919769,0.11267598066458358,0.03274556047493221,0.02774556047493221
2023-12-06,2.049999952316284,1.8799999952316284,2.140000104904175,2.0199999809265137,1.9900000095367432,136500,8.292681026288498,0.052520806319426544,-1.4634132725648943,0.5384612563094928,-0.014851471125267248,-0.019851471125267247
2023-12-08,2.0,1.7400000095367432,2.0999999046325684,1.7400000095367432,1.7899999618530273,54700,12.999999523162842,0.02101191379353394,-12.999999523162842,0.0,0.02873560462197707,0.023735604621977067
2024-01-05,2.140000104904175,1.9700000286102295,2.140000104904175,2.049999952316284,1.9500000476837158,6700,7.943928409366017,0.191784743094318,-4.205614400748857,0.470587575312188,-0.04878044241882981,-0.05378044241882981
2024-01-08,1.9500000476837158,1.8200000524520874,1.9800000190734863,1.9700000286102295,1.9199999570846558,38700,6.66666625911355,1.1111111111111112,1.0256400224333537,0.9375000465661385,-0.025380746598692765,-0.030380746598692766
2024-01-11,1.9800000190734863,1.8300000429153442,1.9800000190734863,1.8769999742507935,1.850000023841858,12600,7.575756298645518,0.4119666503187837,-5.202022415681102,0.31333292537258867,-0.014384630143488737,-0.019384630143488738
2024-01-19,2.1700000762939453,1.9199999570846558,2.3299999237060547,2.1500000953674316,2.2100000381469727,101100,11.520742415652565,3.782267115600449,-0.921658074808496,0.5609759927009018,0.027906948892152082,0.02290694889215208
2024-01-22,2.2100000381469727,2.049999952316284,2.3299999237060547,2.049999952316284,2.190000057220459,91300,7.239822763299333,3.052490805750585,-7.239822763299333,0.0,0.06829273568811034,0.06329273568811034
2024-01-23,2.190000057220459,1.899999976158142,2.190000057220459,1.9900000095367432,1.909000039100647,41300,13.242012487907607,1.3249919794674367,-9.13242203005032,0.31034485593561384,-0.04070350253664188,-0.04570350253664188
2024-01-25,2.0799999237060547,1.9299999475479126,2.0799999237060547,2.0399999618530273,1.940000057220459,10400,7.211537579812914,0.37866375386856,-1.9230751596258298,0.7333335452609929,-0.049019562011037375,-0.05401956201103737
2024-02-05,1.9900000095367432,1.7599999904632568,1.9900000095367432,1.9900000095367432,1.7999999523162842,14800,11.557789847801487,0.6657669815564552,0.0,1.0,-0.09547741523111326,-0.10047741523111327
2024-02-27,1.8890000581741333,1.5199999809265137,1.8899999856948853,1.8849999904632568,1.8300000429153442,9900,19.534148538051774,1.7983651226158037,-0.21175582782897553,0.9864864995481324,-0.029177691154468298,-0.034177691154468295
2024-02-29,1.8799999952316284,1.7230000495910645,1.940000057220459,1.940000057220459,1.940000057220459,4900,8.351060959509233,0.805921052631579,3.1914926670751487,1.0,0.0,-0.005
2024-03-01,1.940000057220459,1.7999999523162842,2.0,2.0,1.899999976158142,10700,7.2165000399412556,1.671875,3.092780464424631,1.0,-0.050000011920928955,-0.05500001192092895
2024-03-07,1.8070000410079956,1.600000023841858,1.940000057220459,1.899999976158142,1.899999976158142,4800,11.455451713806672,0.8695652173913043,5.1466482036308365,0.8823527143076028,0.0,-0.005
2024-03-08,1.899999976158142,1.6859999895095825,1.940000057220459,1.940000057220459,1.8600000143051147,10400,11.263157333363448,1.7808219178082192,2.1052674507500932,1.0,-0.04123713430708066,-0.04623713430708066
2024-03-13,3.9100000858306885,2.549999952316284,4.260000228881836,3.069999933242798,2.9000000953674316,845100,34.78261134680945,1.1480699085049009,-21.4833793899887,0.30409350691504394,-0.055374541228669596,-0.060374541228669594
2024-03-14,2.9000000953674316,2.5999999046325684,4.230000019073486,3.0,2.809999942779541,1702800,10.344833823077964,2.073853948458128,3.4482724601392922,0.24539881428451907,-0.06333335240681966,-0.06833335240681966
2024-03-18,3.4600000381469727,2.8499999046325684,3.700000047683716,3.4000000953674316,3.319999933242798,457400,17.630061467892183,0.5217589688016883,-1.734102373353568,0.6470589390262819,-0.023529458788438158,-0.02852945878843816
2024-03-19,3.319999933242798,2.7300000190734863,3.369999885559082,3.0999999046325684,3.0199999809265137,340200,17.771082109421346,0.3808137907874853,-6.6265070190933795,0.578124941792327,-0.025806427795854008,-0.03080642779585401
2024-03-20,3.0199999809265137,2.7799999713897705,3.25,2.859999895095825,2.8299999237060547,133000,7.947020233527052,0.14781801712688455,-5.298016120569697,0.17021259326858157,-0.010489500870686343,-0.015489500870686342
2024-03-21,2.8299999237060547,2.5999999046325684,2.9200000762939453,2.6700000762939453,2.609999895095825,109600,8.12720937364152,0.1211478091700933,-5.6537050079697515,0.21875041909493376,-0.022471977334698242,-0.027471977334698243
2024-03-22,2.609999895095825,2.4100000858306885,2.75,2.609999895095825,2.619999885559082,70700,7.662828249186339,0.07788316423763729,0.0,0.5882348816286518,0.0038314141245931695,-0.0011685858754068306
2024-03-28,2.819999933242798,2.5999999046325684,2.890000104904175,2.6700000762939453,2.6700000762939453,86900,7.801419638944644,0.09345794392523364,-5.319143989353342,0.24137973558575704,0.0,-0.005
2024-04-03,2.880000114440918,2.700000047683716,2.9600000381469727,2.75,2.75,175900,6.25000206960564,0.18146274030401974,-4.513892683165894,0.19230751596258294,0.0,-0.005
2024-04-05,2.9600000381469727,2.7799999713897705,3.0399999618530273,2.8510000705718994,2.8499999046325684,206300,6.08108325802206,0.20792807684167028,-3.6824312895384184,0.27307731456306583,-0.0003508123165813971,-0.005350812316581397
2024-04-10,2.700000047683716,2.1600000858306885,2.700000047683716,2.359999895095825,2.440000057220459,408500,19.999998233936484,1.1856044115512987,-12.592598021602667,0.37037004332154194,0.033898375288438504,0.028898375288438503
2024-04-11,2.440000057220459,2.259999990463257,2.509999990463257,2.2850000858306885,2.5399999618530273,78500,7.3770517432794795,0.2563516426098883,-6.352457694871519,0.10000038146972656,0.11159731573035642,0.10659731573035641
2024-04-15,2.559999942779541,2.2899999618530273,2.680000066757202,2.359999895095825,2.4600000381469727,488900,10.546874490682956,1.4572714536945959,-7.812502037268178,0.17948696003555492,0.0423729438543416,0.0373729438543416
2024-04-17,2.7300000190734863,2.3299999237060547,2.759999990463257,2.5199999809265137,2.490000009536743,118100,14.65201804295901,0.36703805572389786,-7.692309035889419,0.44186052958857275,-0.01190475064160143,-0.01690475064160143
2024-04-24,2.490000009536743,2.1500000953674316,2.5799999237060547,2.2880001068115234,2.4200000762939453,203000,13.654614974582568,0.6144253760707044,-8.112445861508297,0.3209303872917302,0.05769229166093545,0.052692291660935454
2024-04-30,2.569999933242798,2.4000000953674316,2.6500000953674316,2.617000102996826,2.609999895095825,72400,6.614779855689033,0.2375406017257784,1.8288004270383005,0.8680000305175781,-0.0026748978316755785,-0.007674897831675579
2024-05-03,2.7699999809265137,2.509999990463257,3.0,2.559999942779541,2.5299999713897705,177600,9.386281308792343,0.6147881473276101,-7.5812288661724665,0.10204071702683279,-0.011718739086063334,-0.016718739086063333
2024-05-07,2.440000057220459,2.2200000286102295,2.5799999237060547,2.299999952316284,2.3499999046325684,166100,9.016394403729805,0.598526205790678,-5.737709082829153,0.22222207505021693,0.021739110153428578,0.016739110153428577
2024-05-09,2.380000114440918,2.2200000286102295,2.380000114440918,2.256999969482422,2.259999990463257,9600,6.722692358704943,0.03781090608322338,-5.168073069080077,0.23124950639930025,0.001329207364377116,-0.003670792635622884
2024-05-23,2.2100000381469727,2.009999990463257,2.2100000381469727,2.119999885559082,2.0299999713897705,12200,9.049775757081463,0.2558724832214765,-4.072405024180606,0.5499993443490638,-0.04245279199417359,-0.047452791994173585
2024-05-30,2.140000104904175,2.006999969482422,2.180000066757202,2.1500000953674316,2.009999990463257,12800,6.214959294486036,0.35684415946473375,0.467289251077145,0.8265898582581672,-0.06511632497404564,-0.07011632497404564
2024-06-24,2.4800000190734863,2.3299999237060547,2.5,2.4800000190734863,2.4800000190734863,15000,6.048390895717445,1.092896174863388,0.0,0.8823531061719531,0.0,-0.005
2024-06-26,2.680000066757202,2.450000047683716,2.680000066757202,2.490000009536743,2.559999942779541,33700,8.58209005016131,1.669970267591675,-7.0895541973011555,0.17391286319957708,0.028112422881404375,0.023112422881404374
2024-06-27,2.559999942779541,2.2699999809265137,2.6700000762939453,2.609999895095825,2.680000066757202,38600,11.328123763087177,1.7549443055239826,1.9531231810105558,0.849999582767586,0.026819990220270457,0.021819990220270456
2024-07-01,2.609999895095825,2.109999895095825,2.609999895095825,2.5999999046325684,2.630000114440918,4600,19.157088892589503,0.207909604519774,-0.38314141245931693,0.9800000190734863,0.011538542657211841,0.006538542657211841
2024-07-02,2.630000114440918,2.3350000381469727,2.630000114440918,2.5,2.5199999809265137,10200,11.216732450852234,0.4649042844120328,-4.942969915746685,0.5593217599327579,0.007999992370605469,0.002999992370605469
2024-07-05,2.509999990463257,2.2249999046325684,2.509999990463257,2.3299999237060547,2.3499999046325684,35300,11.354585135997851,1.5411482209124645,-7.17131742793276,0.36842100860230703,0.008583683082144515,0.003583683082144515
2024-07-08,2.3499999046325684,2.0999999046325684,2.359999895095825,2.2820000648498535,2.1500000953674316,57500,10.638298304062632,2.2972433080303634,-2.893610320947944,0.700000641896198,-0.05784398147732171,-0.06284398147732172
2024-07-19,2.490000009536743,2.3299999237060547,2.630000114440918,2.5999999046325684,2.5999999046325684,238800,6.425706233650015,4.167539267015707,4.417666452792116,0.8999993642175266,0.0,-0.005
2024-07-22,2.5999999046325684,2.390000104904175,2.75,2.6500000953674316,2.5299999713897705,229400,8.076915670428484,3.369565217391304,1.9230843295715159,0.7222224061872289,-0.04528306402231382,-0.05028306402231382
2024-07-29,2.819999933242798,2.559999942779541,2.819999933242798,2.690000057220459,2.5799999237060547,24500,9.219858036105535,0.295216291119412,-4.609924790772896,0.5000004584972844,-0.040892242072316516,-0.045892242072316514
2024-07-30,2.5799999237060547,2.4200000762939453,2.6500000953674316,2.450000047683716,2.2899999618530273,59500,6.201544656725289,0.6939989502536887,-5.038755033589298,0.1304346473996828,-0.06530615621087685,-0.07030615621087685
2024-08-01,2.5399999618530273,2.2790000438690186,2.7699999809265137,2.628999948501587,2.5899999141693115,157100,10.27558747652891,1.630682997716421,3.503936534850602,0.7128308543786719,-0.014834551196740675,-0.019834551196740675
2024-08-08,2.7899999618530273,2.5799999237060547,2.7899999618530273,2.609999895095825,2.569999933242798,29400,7.526883190618305,0.23163285404766595,-6.451615384168391,0.14285698066766273,-0.015325656498372678,-0.020325656498372677
2024-08-15,2.5,2.0999999046325684,2.6659998893737793,2.130000114440918,2.200000047683716,282300,16.000003814697266,2.0596818911425654,-14.799995422363283,0.05300390568396648,0.032863816658137326,0.027863816658137325
2024-08-16,2.200000047683716,2.0,2.3399999141693115,2.069999933242798,2.109999895095825,42000,9.090911061310528,0.3301367709479642,-5.909095982874611,0.20588220857002812,0.019323653692280385,0.014323653692280384
2024-08-22,2.190000057220459,2.0299999713897705,2.299999952316284,2.1649999618530273,2.200000047683716,165200,7.3059398013788215,1.3930348258706469,-1.1415568362660995,0.5,0.016166321684704252,0.011166321684704252
2024-08-26,2.2699999809265137,2.109999895095825,2.4000000953674316,2.119999885559082,2.1500000953674316,222700,7.048461990091449,1.5636848757197024,-6.607933772149559,0.03448270192189906,0.014151043126324517,0.009151043126324518
2024-08-28,2.2300000190734863,1.8600000143051147,2.309999942779541,1.8799999952316284,1.8600000143051147,396900,16.59192832303643,2.0616575331792326,-15.695068199473598,0.044444409123167855,-0.010638287753851585,-0.015638287753851586
2024-08-29,1.8600000143051147,1.3480000495910645,1.9900000095367432,1.8799999952316284,1.6799999475479126,431400,27.526879611628956,2.0918392086505357,1.0752677834782465,0.8286604031650997,-0.10638300435690931,-0.11138300435690932
2024-08-30,1.6799999475479126,1.5499999523162842,1.7300000190734863,1.5850000381469727,1.6399999856948853,301400,7.738095195858385,1.3741850180093922,-5.654756688510587,0.19444484916719096,0.03470028152946492,0.029700281529464922
2024-09-03,1.6399999856948853,1.5,1.7599999904632568,1.559999942779541,1.5800000429153442,265100,8.536584568052042,1.1555981778949893,-4.87805143982653,0.23076901915509954,0.01282057748038625,0.00782057748038625
2024-09-05,1.590000033378601,1.3300000429153442,1.6200000047683716,1.3300000429153442,1.340000033378601,377900,16.352200314787492,1.606990984861371,-16.352200314787492,0.0,0.007518789579387513,0.0025187895793875132
2024-09-09,1.3799999952316284,1.2200000286102295,1.4800000190734863,1.2999999523162842,1.309999942779541,225900,11.594200519873441,0.8967132422991426,-5.797104579113893,0.30769202554013275,0.007692300638503318,0.002692300638503318
2024-09-10,1.309999942779541,1.2100000381469727,1.350000023841858,1.2699999809265137,1.3300000429153442,190200,7.633580839735752,0.7436659368157648,-3.0534323358943007,0.4285710636449947,0.047244144007827636,0.04224414400782764
2024-09-11,1.3300000429153442,1.159999966621399,1.3600000143051147,1.2100000381469727,1.2000000476837158,255600,12.781960211167148,0.9548001494209937,-9.022556458369206,0.2500002980231528,-0.008264454667762735,-0.013264454667762736
2024-09-12,1.2000000476837158,0.9900000095367432,1.2200000286102295,1.0199999809265137,1.0499999523162842,312000,17.500002483526767,1.170248677844042,-15.000004967053535,0.1304346473996828,0.029411737206622428,0.024411737206622427
2024-09-16,1.149999976158142,1.0199999809265137,1.159999966621399,1.1100000143051147,1.1299999952316284,104300,11.304347645808253,0.3938673010837959,-3.4782576245485726,0.6428574469625045,0.018018000602490186,0.013018000602490185
2024-09-17,1.1299999952316284,1.059999942779541,1.2100000381469727,1.190000057220459,1.4299999475479126,163500,6.194694933404732,0.6006061162641197,5.309740021417584,0.8666668785941578,0.20168057040941076,0.19668057040941075
2024-09-18,1.4299999475479126,1.0199999809265137,1.4299999475479126,1.0729999542236328,1.100000023841858,286700,28.671327388818785,1.0244957029784345,-24.965035413913427,0.12926823807783436,0.025163160083973117,0.020163160083973116
2024-09-19,1.100000023841858,0.9110000133514404,1.100000023841858,0.9769999980926514,1.0,460300,17.181818763086607,1.5524190148564105,-11.181820280295712,0.34920624908937353,0.023541455427073078,0.018541455427073077
2024-09-23,1.059999942779541,0.9959999918937683,1.2000000476837158,1.0800000429153442,1.1399999856948853,759900,6.037731541565132,2.301994819830054,1.8868020014566025,0.4117648433786124,0.05555550036607185,0.05055550036607185
2024-09-24,1.1399999856948853,1.0199999809265137,1.1399999856948853,1.100000023841858,1.090000033378601,670100,10.526316339839756,1.901127739555997,-3.508768627628134,0.666666997803569,-0.009090900224102623,-0.014090900224102622
2024-09-26,1.090000033378601,0.9620000123977661,1.1299999952316284,0.9700000286102295,1.0099999904632568,962100,11.743120831297754,2.5579602254599596,-11.009174412262675,0.04761914898750147,0.041237072858995076,0.03623707285899508
2024-09-27,1.0099999904632568,0.8700000047683716,1.0299999713897705,0.949999988079071,0.921999990940094,370600,13.861384853149497,0.9933526321432401,-5.940594351556933,0.5,-0.029473681568769172,-0.03447368156876917
2024-09-30,0.921999990940094,0.8050000071525574,0.9399999976158142,0.8199999928474426,0.8500000238418579,537600,12.689803138527209,1.3967627114240433,-11.062906626349275,0.11111101299646257,0.03658540397084693,0.031585403970846936
2024-10-02,1.75,1.399999976158142,2.690000057220459,1.6399999856948853,1.5199999809265137,34879000,20.00000136239188,8.246484267867107,-6.285715103149414,0.18604650732975367,-0.07317073525310204,-0.07817073525310204
2024-10-03,1.5199999809265137,1.4199999570846558,2.069999933242798,1.7799999713897705,1.75,7903700,6.578949019519266,1.7160133308726946,17.105262745120182,0.5538461961689801,-0.01685391678200277,-0.021853916782002773
2024-10-04,1.75,1.4199999570846558,1.7699999809265137,1.4900000095367432,1.5299999713897705,2093300,18.857145309448242,0.44508467729075196,-14.857142312186106,0.20000013623917878,0.02684561181007224,0.02184561181007224
2024-10-08,1.600000023841858,1.3309999704360962,1.600000023841858,1.3700000047683716,1.3300000429153442,1767900,16.81250308733429,0.3585633129230039,-14.37500097788869,0.14498151148486,-0.02919705234584303,-0.034197052345843026
2024-10-09,1.3300000429153442,0.9850000143051147,1.3559999465942383,1.2400000095367432,1.2599999904632568,1095700,25.939850938199488,0.22035127093633705,-6.766919584552951,0.6873316489796679,0.016129016752173694,0.011129016752173693
2024-10-15,1.309999942779541,1.100000023841858,1.3300000429153442,1.1200000047683716,1.1200000047683716,687200,16.030528863391243,0.13460877366353488,-14.503812695444093,0.08695643159978854,0.0,-0.005
2024-10-18,1.2999999523162842,1.2200000286102295,1.350000023841858,1.340000033378601,1.350000023841858,261200,6.153840510802654,0.051030625213075324,3.0769294253470134,0.9230769936149669,0.007462679264300777,0.002462679264300777
2024-10-22,1.3799999952316284,1.2699999809265137,1.399999976158142,1.2899999618530273,1.2899999618530273,204400,7.971015556898724,0.04027641760576008,-6.521741571708836,0.15384601277006638,0.0,-0.005
2024-10-23,1.2899999618530273,1.1799999475479126,1.3070000410079956,1.190000057220459,1.190000057220459,269900,8.527133144027744,0.05337953362623844,-7.751930820906612,0.07874096309771213,0.0,-0.005
2024-10-29,1.2799999713897705,1.1699999570846558,1.2799999713897705,1.1699999570846558,1.2100000381469727,100600,8.593751309672399,0.03432972575463118,-8.593751309672399,0.0,0.03418810472607793,0.02918810472607793
2024-11-01,1.2699999809265137,1.1299999952316284,1.2999999523162842,1.1799999475479126,1.1799999475479126,438800,11.023621086415284,0.5894799062313185,-7.086616907894959,0.2941174408143259,0.0,-0.005
2024-11-08,1.1799999475479126,1.0499999523162842,1.1799999475479126,1.100000023841858,1.0499999523162842,282300,11.016949238156633,0.6894867317156569,-6.779654852722472,0.38461594891973455,-0.045454609492592175,-0.05045460949259217
2024-11-11,1.0499999523162842,0.9350000023841858,1.059999942779541,0.9919999837875366,1.0099999904632568,308300,10.952376681390339,0.7785845065976388,-5.52380677740037,0.45600006866458354,0.018145168316429528,0.013145168316429527
2024-11-19,1.0499999523162842,0.9850000143051147,1.0700000524520874,0.9869999885559082,0.9909999966621399,106500,6.190470567906269,0.3495814869522403,-5.9999968210854675,0.02352909827328928,0.0040526931637396985,-0.0009473068362603016
2024-11-25,1.0199999809265137,0.6899999976158142,1.0199999809265137,0.800000011920929,0.8050000071525574,474200,32.35294014524834,2.043613170143079,-21.56862481563465,0.33333339354004826,0.0062499939464033556,0.0012499939464033554
2024-11-26,0.8050000071525574,0.75,0.8980000019073486,0.8190000057220459,0.8009999990463257,154600,6.832298964456307,0.6586010053676408,1.7391302416268617,0.4662162488703309,-0.02197802997553226,-0.02697802997553226
2024-11-27,0.8009999990463257,0.7319999933242798,0.828000009059906,0.7450000047683716,0.7799999713897705,103800,8.614232934356757,0.44380785428736347,-6.991260217806236,0.13541676367941896,0.046979820667626425,0.04197982066762643
2024-12-09,0.8980000019073486,0.7749999761581421,0.8980000019073486,0.8389999866485596,0.8399999737739563,77500,13.697107515362466,0.5646424538268187,-6.570157587246464,0.5203251796134712,0.0011918797870203105,-0.0038081202129796893
2024-12-10,0.8399999737739563,0.7850000262260437,0.8500000238418579,0.8370000123977661,0.8510000109672546,65700,6.547613007749101,0.525074925074925,-0.35713827022064576,0.7999998166010863,0.016726401866330357,0.011726401866330356
2024-12-11,0.8510000109672546,0.7710000276565552,0.8679999709129333,0.7829999923706055,0.7850000262260437,89000,9.400702970587595,0.7313966388626372,-7.990601377238492,0.12371104880271404,0.0025543216793437553,-0.002445678320656245
2024-12-12,0.7850000262260437,0.7289999723434448,0.7850000262260437,0.7799999713897705,0.7799999713897705,69500,7.133764587477026,0.589082895406001,-0.6369496393919112,0.9107133924057369,0.0,-0.005
2024-12-13,0.7799999713897705,0.699999988079071,0.7900000214576721,0.7120000123977661,0.7300000190734863,172500,10.256408492959162,1.4257965863536801,-8.717943780285657,0.13333355409119507,0.025280907812209878,0.020280907812209877
2024-12-16,0.7300000190734863,0.5799999833106995,0.7300000190734863,0.5929999947547913,0.5950000286102295,302700,20.547949567613223,2.4083061500517147,-18.767126128650663,0.0866667222976552,0.0033727384032528657,-0.0016272615967471344
2024-12-17,0.5950000286102295,0.5099999904632568,0.6060000061988831,0.6060000061988831,0.5879999995231628,326500,14.285720010049644,2.4413040227306713,1.8487356402900932,1.0,-0.029702981009232524,-0.034702981009232525
2024-12-18,0.5879999995231628,0.5270000100135803,0.6079999804496765,0.5270000100135803,0.550000011920929,218700,10.37414788419223,1.5694294940796556,-10.37414788419223,0.0,0.043643266547102995,0.038643266547103
2024-12-23,0.6000000238418579,0.5609999895095825,0.6200000047683716,0.5889999866485596,0.5809999704360962,142800,6.500005463758887,0.9522856857057117,-1.8333394593660253,0.4745760999579737,-0.013582370787449225,-0.018582370787449225
2024-12-30,0.7940000295639038,0.6919999718666077,0.7940000295639038,0.7490000128746033,0.7269999980926514,190600,12.846354395391977,1.2833720499612833,-5.667508188131469,0.5588236153469017,-0.029372515892913773,-0.03437251589291377
2024-12-31,0.7269999980926514,0.671999990940094,0.8289999961853027,0.8199999928474426,0.8799999952316284,300800,7.565338005069429,1.9812936372019496,12.79229642349174,0.942675139890578,0.07317073525310204,0.06817073525310204
2025-01-02,0.8799999952316284,0.7670000195503235,0.9350000023841858,0.7960000038146973,0.8330000042915344,562500,12.840906397000804,3.175633715350308,-9.545453621828846,0.17261897159270723,0.04648241243658395,0.04148241243658395
2025-01-03,0.8330000042915344,0.703000009059906,0.8330000042915344,0.7599999904632568,0.7699999809265137,304400,15.606241844163407,1.5948027453240425,-8.763507017069468,0.4384614114930597,0.0131578823536055,0.0081578823536055
2025-01-06,0.7699999809265137,0.6869999766349792,0.7699999809265137,0.7099999785423279,0.7149999737739563,196500,10.77922160357244,1.0184777256589006,-7.792208294861243,0.27710844238708693,0.007042247017941755,0.0020422470179417545
2025-01-08,1.2000000476837158,0.7900000214576721,1.5,1.0700000524520874,1.0299999713897705,83026500,34.16666749450892,18.9544587546786,-10.833332505491079,0.3943662527557705,-0.03738325149671712,-0.042383251496717116
